Name,Emission from Bioenergy (gCO2/h),Emission from Coal (gCO2/h),Emission from Gas (gCO2/h),Emission from Hydro (gCO2/h),Emission from Nuclear (gCO2/h),Emission from Oil (gCO2/h),Emission from Solar (gCO2/h),Emission from Wind (gCO2/h),Total (gCO2/h)
Aitken,5163.942429484207,261945.35327190778,417725.6551323236,2656.3095054188548,4401.542090584951,9366.79493063154,5407.0817185017795,2313.3831008107686,708980.0621796636
Taiwania 2,1322.9524496393853,283577.64855934907,155445.92111415064,281.53470849468783,672.8951547234158,5644.294880449043,1845.6164223540682,150.2170146019107,448941.0803037622
SNL CTS-2 Stout,3830.7353436650324,194317.29470069782,309878.8286125133,1970.5135843541473,3265.168634871323,6948.511314293774,4011.1018525082054,1716.1226192443014,525938.276662148
Dragão,16339.231991923492,18640.498746459456,24727.04647914971,13687.948409097282,230.25891696345906,8616.856782298959,3282.9748271123663,1455.9922476794068,86980.80840068412
Raven-GPU,7905.057944887972,82890.11073911923,27812.516095802213,349.1650785475146,78.41874839041968,9020.39660056657,2206.83801184651,1179.1453772856037,131441.64859644603
AiMOS,1315.5323811204782,66731.49420599898,106417.07053388402,676.7041299113911,1121.3082303103042,2386.2237441310385,1377.4729647332927,589.3424298607923,180615.14861995028
Dardel GPU,2381.0668429911,7.206299591247896,64.59305121422783,1393.522577542678,510.4169271459484,1450.0480884828,104.61437845635905,350.894061072373,6262.362226496734
Taranis,7106.105697224323,5760.336114839181,50086.499776312405,4151.656882768276,13099.300927817001,18947.447044406767,3631.0411390558393,1818.0410418003928,104600.42862422418
LANTA,5244.197291196386,40681.032957110605,103338.89841986456,258.1598194130921,0.0,880.0902934537095,391.1512415349878,77.9694808126408,150871.49950338597
HoreKa-Green,7523.224774658767,78886.32050951882,26469.105172447948,332.29957170308427,74.63093563660127,8584.689910655914,2100.242467560768,1122.1898406267953,125092.7031828087
42,7397.624517125932,77569.3131797381,26027.203391509338,326.7518294736423,73.3849719685413,8441.36848986707,2065.178914003843,1103.4548782662096,123004.28017195269
Plasma Simulator,17321.18333316886,410630.0563783287,249468.353662026,2708.5722844372503,1421.2754960483844,31429.936557113328,8028.444640901418,160.5832695286676,721168.4056215526
Leonardo-CPU,16271.265560971891,48545.89557468196,246974.15584583743,3878.2199223093903,0.0,39712.3995734633,6339.673157133059,1151.5275536979207,362873.13718809496
Underhill,4183.725865490616,54061.74835722157,91090.04701212788,17882.919797133407,2175.7169040793824,3193.4659316427624,732.172418963611,893.4975082690177,174213.29379492824
Robert,4183.725865490616,54061.74835722157,91090.04701212788,17882.919797133407,2175.7169040793824,3193.4659316427624,732.172418963611,893.4975082690177,174213.29379492824
Belenos,7033.854622551588,5701.768104102181,49577.24708719918,4109.445060395632,12966.114255704031,18754.79955651507,3594.1226585750082,1799.5561747485947,103536.90751979128
Isambard-AI phase 1,3105.817370268152,1328.0954581075973,19648.887471464102,50.07285290810574,197.65851783706427,3008.679546151487,258.69378309312026,378.2949783638283,27976.199978193457
Artemis,,,,,,,,,0.0
JOLIOT-CURIE ROME,6103.0907782381155,4947.274318725517,43016.87420979941,3565.6574663009833,11250.35653848398,16273.046624263228,3118.52576296901,1561.4275933166055,89836.25329209685
Gaia,9944.354020022993,11344.946857735735,15049.330603774635,8330.734569112985,140.13976836142325,5244.375893883708,1998.078241117247,886.1433859614679,52938.1033399702
"Karolina, GPU partition",4901.215463376208,102533.62344447362,4740.780874245206,229.2622525597266,1489.2248884221578,3551.605408243624,597.6494618009963,33.80148595431861,118077.16327907586
,19742.93463816636,207018.60124011963,69461.94338239664,872.0420990907105,195.85134412329853,22528.500326868587,5511.592568790982,2944.923399037223,328276.38899859344
Camphor 3,11471.917719608078,271962.6095608332,165224.30204734043,1793.9027482708593,941.3188021825131,20816.224802912606,5317.2843081962665,106.35520794072083,477633.91519728466
HPCF-AD,17458.90776144413,52089.26803259955,265000.83783989644,4161.291796785741,0.0,42611.013786274634,6802.406885520599,1235.577728692208,389359.30383121327
HPCF-AC,17458.90776144413,52089.26803259955,265000.83783989644,4161.291796785741,0.0,42611.013786274634,6802.406885520599,1235.577728692208,389359.30383121327
HPCF-AB,17458.90776144413,52089.26803259955,265000.83783989644,4161.291796785741,0.0,42611.013786274634,6802.406885520599,1235.577728692208,389359.30383121327
HPCF-AA,17458.90776144413,52089.26803259955,265000.83783989644,4161.291796785741,0.0,42611.013786274634,6802.406885520599,1235.577728692208,389359.30383121327
MareNostrum,8154.252455977729,19348.04819277108,187476.41594068578,2905.4742539388303,4123.711584800741,38950.1983317887,13091.332270620944,4461.878924930489,278511.3119555143
SPR-HBM,2728.2756380837914,138394.0924206587,220697.7989903625,1403.4131111660236,2325.475200338898,4948.776785399083,2856.7338863981345,1222.234144102799,374576.80017650995
LUMI-C,38763.28823897795,19724.95826653303,3953.821906312618,5521.039569138275,6197.010661322645,21466.64954909816,475.0067134268502,2561.458477580159,98663.23338238968
JUWELS Module 1,28537.888230749413,299239.8957982528,100405.3963034133,1260.513718576041,283.0979219081199,32564.34953148833,7966.860833217774,4256.808643198161,474514.8109808039
SQUID - CPU Nodes,13657.15132559124,323767.53429171885,196697.13040818542,2135.615151305856,1120.6263539580254,24781.413108898723,6330.149693638935,126.61432940967524,568616.2346627068
