Rank,Name,Site,Country,Power (kW),Total Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Computer,Year,Latitude,Longitude
46,El Capitan Early Delivery,DOE/NNSA/LLNL,United States,,129024,19650.0,32097.8944,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11",2024,40.42103,-74.52878
47,rzAdams,DOE/NNSA/LLNL,United States,,129024,19650.0,32097.8944,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11",2024,40.42103,-74.52878
48,LLNL-Tuolumne,Hewlett Packard Enterprise,United States,,129024,19650.0,32097.8944,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11",2024,37.4192611,-121.9787718
49,ARCHER2,EPSRC/University of Edinburgh,United Kingdom,,716800,19539.0,25804.0,"Cray XE, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",2021,55.9483399,-3.1932723
50,SuperMUC-NG,Leibniz Rechenzentrum,Germany,,305856,19476.6,26873.856,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",2018,48.2618918,11.666948
51,Dawn,University of Cambridge,United Kingdom,,156864,19458.3,53852.24,"Dell PowerEdge XE9640, Xeon Platinum 8468 48C 2.1GHz, Intel Data Center GPU Max 1550, Infiniband HDR200",2023,52.2109456,0.092005
52,Hawk,HLRS - Höchstleistungsrechenzentrum Stuttgart,Germany,3905.83,698880,19334.0,25159.68,"Apollo 9000, AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",2020,48.739457,9.0970622
53,Ghawar-1,Saudi Aramco,Saudi Arabia,,714240,19256.0,22855.68,"HPE Cray EX, AMD EPYC 7702 64C 2GHz, Slingshot-10",2021,23.9494015,38.2920459
54,Frontier TDS,DOE/SC/Oak Ridge National Laboratory,United States,308.68,120832,19200.0,23105.54,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2021,34.088934,-88.505164
55,Helios GPU,Cyfronet,Poland,316.88,89760,19140.0,30443.56,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11",2023,52.1238555,21.3362914
56,Pégaso,Petróleo Brasileiro S.A,Brazil,1033.0,233856,19070.0,41995.7,"Supermicro A+ Server 4124GO-NART+, AMD EPYC 7513 32C 2.6GHz, NVIDIA A100, Infiniband HDR",2022,-10.0,-55.0
