Name,Country,Rmax [TFlop/s],Total_Power (kW),Average_Power(kW),Full_Energy(J/year),Average_Energy(kWh/year)
occigen2,France,2494.65,1430.0,715.0,45096480000.0,626340.0
Excalibur,United States,2485.0,1465.78,732.89,46224838080.0,642011.64
CLAIX (2018),Germany,2483.58,692.05,346.025,21824488800.0,303117.9
Centennial,United States,2443.7,835.0,417.5,26332560000.0,365730.0
Greene-H100,United States,2436.0,51.69,25.845,1630095840.0,22640.22
PAI-ASystem,China,2435.0,740.0,370.0,23336640000.0,324120.0
Cannon2-A100,United States,2384.0,87.32,43.66,2753723520.0,38246.16
NVIDIA DGX SuperPOD,United States,2356.0,89.94,44.97,2836347840.0,39393.72
Ares,Poland,2338.79,486.85,243.425,15353301600.0,213240.3
HoreKa-Blue,Germany,2333.51,494.51,247.255,15594867360.0,216595.38
Makman-3,Saudi Arabia,2322.46,608.0,304.0,19173888000.0,266304.0
Champollion,France,2321.0,60.2,30.1,1898467200.0,26367.6
VSC-5,Austria,2312.3,516.0,258.0,16272576000.0,226008.0
Taiwania 3,Taiwan,2297.56,563.85,281.925,17781573600.0,246966.3
Wilkes-3,United Kingdom,2287.0,74.26,37.13,2341863360.0,32525.88
MeluXina - Cluster Module,Luxembourg,2286.56,377.21,188.605,11895694560.0,165217.98
Béluga,Canada,2278.0,240.0,120.0,7568640000.0,105120.0
SSC-21 Scalable Module,South Korea,2274.1,103.01,51.505,3248523360.0,45118.38
Cumulus,United Kingdom,2271.38,530.0,265.0,16714080000.0,232140.0
Tethys,United States,2255.0,71.5,35.75,2254824000.0,31317.0
Makman-2,Saudi Arabia,2249.68,1134.0,567.0,35761824000.0,496692.0
,China,2192.0,740.0,370.0,23336640000.0,324120.0
MN-3,Japan,2179.6,53.29,26.645,1680553440.0,23341.02
Marvin (Scalable GPU Partition),Germany,2177.0,90.74,45.37,2861576640.0,39744.12
Rockfish,United States,2175.0,450.0,225.0,14191200000.0,197100.0
,China,2152.0,1625.0,812.5,51246000000.0,711750.0
Lise GPU-X,Germany,2146.0,133.23,66.615,4201541279.9999995,58354.73999999999
Phoenix - 2022,Australia,2134.0,68.71,34.355,2166838560.0,30094.98
HSUper,Germany,2129.92,394.7,197.35,12447259200.0,172878.6
